City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
133,Puerto Ayora,EC,-0.7393,-90.3518,69.57,80,93,8.99,overcast clouds
134,Dumas,US,35.8656,-101.9732,49.42,36,1,14.97,clear sky
135,Saint George,US,37.1041,-113.5841,46.99,25,1,0.0,clear sky
136,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,20.71,light snow
137,Kudirkos Naumiestis,LT,54.7731,22.8631,34.72,97,100,11.36,light snow
138,Chokurdakh,RU,70.6333,147.9167,-25.8,98,97,3.76,overcast clouds
139,Harper,LR,4.375,-7.7169,78.1,86,71,5.95,light rain
140,Kulhudhuffushi,MV,6.6221,73.07,80.55,79,99,6.93,overcast clouds
141,Mizdah,LY,31.4451,12.9801,59.29,43,86,10.94,overcast clouds
142,Vila Do Maio,CV,15.1333,-23.2167,75.99,79,4,16.91,clear sky
143,Marawi,PH,7.9986,124.2928,82.11,65,35,4.97,scattered clouds
144,Broome,US,42.2506,-75.833,29.17,80,90,17.27,overcast clouds
145,Isangel,VU,-19.55,169.2667,82.51,78,75,9.22,broken clouds
146,Saskylakh,RU,71.9167,114.0833,-14.75,97,87,6.26,overcast clouds
147,Rottenmann,AT,47.5167,14.35,29.77,98,100,2.15,overcast clouds
148,Padang,ID,-0.9492,100.3543,85.5,58,98,2.48,overcast clouds
149,Guantanamo,CU,20.1444,-75.2092,73.47,93,68,4.45,broken clouds
150,Nanortalik,GL,60.1432,-45.2371,43.75,97,100,13.09,light rain
151,Koumac,NC,-20.5667,164.2833,83.23,63,27,6.6,scattered clouds
152,Taman,RU,45.2117,36.7161,57.52,84,100,28.39,overcast clouds
153,Bluff,NZ,-46.6,168.3333,51.98,53,97,15.52,overcast clouds
154,Saint Anthony,US,45.0205,-93.218,33.73,42,40,6.91,scattered clouds
155,Buchanan,LR,5.8808,-10.0467,77.65,86,18,4.56,light rain
156,Honiara,SB,-9.4333,159.95,83.75,77,100,3.2,light rain
157,Bereda,ES,43.2686,-7.5406,46.15,89,99,7.92,overcast clouds
158,Linhares,BR,-19.3911,-40.0722,67.69,91,69,4.03,broken clouds
159,Bredasdorp,ZA,-34.5322,20.0403,60.73,90,99,14.03,moderate rain
160,Pudozh,RU,61.8099,36.5345,19.76,93,98,2.68,overcast clouds
161,Barcelona,ES,41.3888,2.159,42.31,75,20,6.91,few clouds
162,Semporna,MY,4.4818,118.6112,86.2,91,100,5.12,moderate rain
163,Whitehorse,CA,60.7161,-135.0538,14.77,79,75,11.5,broken clouds
164,Aghavnadzor,AM,39.7822,45.2275,33.31,88,97,1.21,overcast clouds
165,Malatya,TR,38.5,38.0,32.05,93,82,4.61,broken clouds
166,Ramhormoz,IR,31.28,49.6035,62.67,57,40,3.04,scattered clouds
167,Acarau,BR,-2.8856,-40.12,79.83,80,28,13.33,scattered clouds
168,Kahului,US,20.8947,-156.47,75.22,64,1,17.27,clear sky
169,Mbanza-Ngungu,CD,-5.25,14.8667,67.48,96,100,1.99,overcast clouds
170,Mecca,SA,21.4267,39.8261,74.7,71,0,2.46,clear sky
171,Santa Isabel,BR,-23.3156,-46.2214,70.9,96,36,5.37,scattered clouds
172,Mehamn,NO,71.0357,27.8492,20.82,72,87,16.04,overcast clouds
173,Babushkin,RU,51.7122,105.8647,20.03,78,100,14.85,light snow
174,Acajutla,SV,13.5928,-89.8275,77.43,60,24,8.01,few clouds
175,Coahuayana,MX,18.7333,-103.6833,74.93,87,39,2.86,scattered clouds
176,Half Moon Bay,US,37.4636,-122.4286,55.58,85,20,9.22,few clouds
177,Bowen,AU,-20.0167,148.2333,84.42,68,75,12.03,broken clouds
178,Siderno,IT,38.2779,16.302,59.59,69,100,4.18,overcast clouds
179,Amapa,BR,1.0,-52.0,72.25,99,100,2.13,overcast clouds
180,Buala,SB,-8.145,159.5921,83.59,72,91,3.24,light rain
181,Cramlington,GB,55.0865,-1.586,42.15,75,90,31.07,light rain
182,Barrow,US,71.2906,-156.7887,-14.78,76,1,5.75,clear sky
183,Mersing,MY,2.4312,103.8405,85.91,70,40,9.22,scattered clouds
184,San Ignacio,BZ,17.1561,-89.0714,71.74,94,75,0.0,broken clouds
185,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,12.66,scattered clouds
186,Royan,FR,45.6285,-1.0281,44.58,64,89,21.72,light rain
187,Svetlaya,RU,46.5389,138.3297,36.14,63,32,7.74,scattered clouds
188,Itarema,BR,-2.9248,-39.9167,79.81,79,29,13.06,scattered clouds
189,Geraldton,AU,-28.7667,114.6,104.41,9,2,12.66,clear sky
190,Vao,NC,-22.6667,167.4833,75.45,86,16,19.13,few clouds
191,Swan River,CA,52.1058,-101.2676,33.69,69,93,11.5,overcast clouds
192,Arraial Do Cabo,BR,-22.9661,-42.0278,72.01,94,100,25.5,light rain
193,Butembo,CD,0.15,29.2833,59.25,90,73,2.04,broken clouds
194,Ihosy,MG,-22.4,46.1167,64.62,80,97,6.85,overcast clouds
195,Emba,KZ,48.8264,58.1442,17.17,79,88,5.06,overcast clouds
196,San Patricio,US,28.017,-97.5169,60.66,52,100,4.81,overcast clouds
197,Tongren,CN,27.7172,109.1853,62.2,44,14,6.4,few clouds
198,Benghazi,LY,32.1167,20.0667,66.54,61,93,8.23,overcast clouds
199,Airai,TL,-8.9266,125.4092,75.18,61,100,1.83,overcast clouds
200,Yumen,CN,40.2833,97.2,40.42,16,50,10.2,scattered clouds
201,Lokoja,NG,7.8024,6.743,74.68,64,94,1.77,overcast clouds
202,Samarai,PG,-10.6167,150.6667,84.58,70,87,9.31,overcast clouds
203,Cap Malheureux,MU,-19.9842,57.6142,81.09,66,2,9.93,clear sky
204,Ketchikan,US,55.3422,-131.6461,36.07,87,90,6.91,light rain
205,Gamba,GA,-2.65,10.0,77.0,87,99,3.89,overcast clouds
206,Kichera,RU,55.9375,110.0997,14.0,77,56,2.82,broken clouds
207,Ancud,CL,-41.8697,-73.8203,47.73,87,66,4.54,broken clouds
208,Cherskiy,RU,68.75,161.3,-34.08,97,20,4.25,few clouds
209,Conceicao Da Barra,BR,-18.5933,-39.7322,69.82,85,52,6.31,broken clouds
210,Kodiak,US,57.79,-152.4072,17.11,53,90,4.61,overcast clouds
211,San Andres,CO,12.5847,-81.7006,82.42,78,40,6.91,scattered clouds
212,Kalevala,RU,65.2,31.1667,12.79,97,100,2.95,overcast clouds
