City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Varhaug,NO,2021-11-23 18:05:32,58.6147,5.6457,48.47,87,100,20.98
120,Antalaha,MG,2021-11-23 18:05:33,-14.9003,50.2788,74.46,74,57,1.59
121,Salaga,GH,2021-11-23 18:05:33,8.5508,-0.5188,89.28,23,89,3.33
122,Olinda,BR,2021-11-23 18:05:34,-8.0089,-34.8553,85.73,62,40,10.36
123,Carnarvon,AU,2021-11-23 18:05:34,-24.8667,113.6333,68.07,83,0,13.8
124,Jijiga,ET,2021-11-23 18:03:12,9.35,42.8,62.06,57,80,10.51
125,Volgodonsk,RU,2021-11-23 18:05:35,47.5136,42.1514,35.15,97,100,9.91
126,Okitipupa,NG,2021-11-23 18:05:35,6.5047,4.7839,79.14,87,56,4.25
127,Klaksvik,FO,2021-11-23 18:05:36,62.2266,-6.589,47.32,86,98,25.46
128,Cockburn Town,TC,2021-11-23 18:03:34,21.4612,-71.1419,81.61,73,34,14.63
129,Japura,ID,2021-11-23 18:05:36,-0.3167,102.35,74.46,97,100,2.13
130,Wattegama,LK,2021-11-23 18:05:36,6.7989,81.4808,73.96,92,100,5.03
131,Bemidji,US,2021-11-23 18:05:37,47.4736,-94.8803,41.09,48,1,6.91
132,Kristinehamn,SE,2021-11-23 18:05:37,59.3098,14.1081,37.38,88,59,10.4
133,Laguna,US,2021-11-23 18:05:38,38.421,-121.4238,64.96,81,1,4.61
134,Port Hardy,CA,2021-11-23 18:05:38,50.6996,-127.4199,42.84,84,83,4.7
135,Lhokseumawe,ID,2021-11-23 18:05:38,5.1801,97.1507,77.47,88,98,2.26
136,Henties Bay,NA,2021-11-23 18:05:39,-22.116,14.2845,58.86,89,5,6.02
137,Hambantota,LK,2021-11-23 18:05:39,6.1241,81.1185,77.79,85,100,3.33
138,Castro,BR,2021-11-23 18:06:39,-24.7911,-50.0119,84.9,34,6,4.85
139,La Ronge,CA,2021-11-23 18:06:40,55.1001,-105.2842,14.22,92,90,13.8
140,Paris,FR,2021-11-23 18:04:33,48.8534,2.3488,44.38,78,0,3.0
141,Garden City,US,2021-11-23 18:06:40,42.3256,-83.331,38.32,46,20,6.91
142,Ancud,CL,2021-11-23 18:01:43,-41.8697,-73.8203,59.81,80,44,9.51
143,Mecca,SA,2021-11-23 18:06:41,21.4267,39.8261,76.23,46,3,4.16
144,Ribeira Grande,PT,2021-11-23 18:06:41,38.5167,-28.7,68.4,94,20,14.97
145,Usolye,RU,2021-11-23 18:06:42,59.4268,56.6808,13.21,94,100,5.3
146,Giyani,ZA,2021-11-23 18:06:42,-23.3025,30.7187,80.37,48,49,5.03
147,Provideniya,RU,2021-11-23 18:06:42,64.3833,-173.3,9.66,66,4,8.55
148,Krasnoselkup,RU,2021-11-23 18:06:43,65.7,82.4667,19.31,94,100,13.78
149,Broome,US,2021-11-23 18:06:43,42.2506,-75.833,36.01,65,75,5.99
150,Vardo,NO,2021-11-23 18:06:43,70.3705,31.1107,28.38,64,75,10.36
151,Te Anau,NZ,2021-11-23 18:06:44,-45.4167,167.7167,44.2,95,53,1.03
152,Victoria,HK,2021-11-23 18:02:20,22.2855,114.1577,64.33,61,96,1.01
153,Sungaipenuh,ID,2021-11-23 18:06:44,-2.0833,101.3833,64.36,83,100,1.9
154,Rovaniemi,FI,2021-11-23 18:06:45,66.5,25.7167,26.01,93,90,3.44
155,Buraydah,SA,2021-11-23 18:04:08,26.326,43.975,63.25,44,6,10.31
156,Pacific Grove,US,2021-11-23 18:06:45,36.6177,-121.9166,66.38,66,1,1.99
157,Guerrero Negro,MX,2021-11-23 18:06:46,27.9769,-114.0611,73.17,48,72,4.83
158,Sola,VU,2021-11-23 18:06:46,-13.8833,167.55,77.5,82,100,10.47
159,Quang Ngai,VN,2021-11-23 18:06:46,15.1167,108.8,74.01,90,99,10.96
160,Iqaluit,CA,2021-11-23 18:06:47,63.7506,-68.5145,31.73,93,75,23.0
161,Oktyabrskoye,RU,2021-11-23 18:06:47,43.0645,44.7417,35.74,81,92,6.71
162,Kolokani,ML,2021-11-23 18:06:48,13.5728,-8.0339,86.11,18,16,8.3
163,Kenai,US,2021-11-23 18:06:48,60.5544,-151.2583,10.15,91,90,5.75
164,Hobart,AU,2021-11-23 18:02:50,-42.8794,147.3294,60.06,87,100,5.75
165,Vestmannaeyjar,IS,2021-11-23 18:06:49,63.4427,-20.2734,36.59,87,75,23.02
166,Massakory,TD,2021-11-23 18:06:49,12.996,15.7293,87.28,15,23,10.0
167,Necochea,AR,2021-11-23 18:06:50,-38.5473,-58.7368,81.03,27,16,4.85
168,Haines Junction,CA,2021-11-23 18:06:50,60.7522,-137.5108,-2.85,100,100,1.3
169,Lagoa,PT,2021-11-23 18:06:51,39.05,-27.9833,66.13,86,55,17.69
170,Pemangkat,ID,2021-11-23 18:06:51,1.1667,108.9667,76.55,85,93,4.07
171,Puerto Palomas,MX,2021-11-23 18:06:52,31.7667,-107.6167,60.13,27,98,3.2
172,Vieques,PR,2021-11-23 18:06:52,18.425,-65.8329,87.82,55,20,6.91
173,Soubre,CI,2021-11-23 18:06:52,5.7856,-6.6083,81.41,73,75,3.89
174,Georgetown,MY,2021-11-23 18:04:35,5.4112,100.3354,78.73,91,20,5.75
175,Huntsville,US,2021-11-23 18:05:21,34.7304,-86.5861,50.14,39,1,1.01
176,Garissa,KE,2021-11-23 18:06:53,-0.4536,39.6401,89.91,38,100,16.08
177,Ostrovnoy,RU,2021-11-23 18:06:53,68.0531,39.5131,14.77,93,95,11.56
178,Shenjiamen,CN,2021-11-23 18:06:54,29.9576,122.298,47.03,48,2,9.33
179,Ballitoville,ZA,2021-11-23 18:06:54,-29.539,31.2144,67.24,75,87,22.1
180,Changuinola,PA,2021-11-23 18:02:11,9.4333,-82.5167,82.33,70,99,6.91
181,Severo-Yeniseyskiy,RU,2021-11-23 18:06:55,60.3725,93.0408,19.6,91,100,6.46
182,Lac Du Bonnet,CA,2021-11-23 18:07:55,50.2536,-96.0612,33.75,88,100,8.03
183,Newburgh,US,2021-11-23 18:07:55,41.5034,-74.0104,44.29,42,75,4.0
184,Minusinsk,RU,2021-11-23 18:07:56,53.7103,91.6875,30.22,72,79,5.06
185,Kavieng,PG,2021-11-23 18:03:14,-2.5744,150.7967,83.07,76,98,16.75
186,Muncar,ID,2021-11-23 18:07:56,-8.4333,114.3333,76.73,90,100,3.4
187,Sitka,US,2021-11-23 18:07:57,57.0531,-135.33,35.49,93,90,0.0
188,Tubmanburg,LR,2021-11-23 18:07:57,6.8708,-10.8172,79.27,86,69,5.06
189,Lorengau,PG,2021-11-23 18:07:57,-2.0226,147.2712,81.91,79,99,10.58
190,Maniitsoq,GL,2021-11-23 18:07:58,65.4167,-52.9,27.75,49,100,23.62
191,Aklavik,CA,2021-11-23 18:06:36,68.2191,-135.0107,-9.4,77,40,6.91
192,Kachiry,KZ,2021-11-23 18:07:58,53.0675,76.1036,26.15,84,53,16.22
193,Timbiqui,CO,2021-11-23 18:07:59,2.7717,-77.6654,78.84,79,99,4.5
194,Batemans Bay,AU,2021-11-23 18:07:59,-35.7167,150.1833,66.2,91,100,2.04
